forecast,pred_int_80_low,pred_int_80_high,pred_int_95_low,pred_int_95_high
2.2346369897580147,1.8156060972148276,2.6536678823012023,1.5929959355512593,2.87627804396477
2.160342835871577,1.7404514812536676,2.5802341904894868,1.517384199112903,2.8033014726302516
2.1476820806133747,1.7241386033521717,2.5712255578745777,1.4991311310571578,2.7962330301695917
2.082188480923474,1.6587172932855576,2.5056596685613903,1.4337482248529148,2.730628736994033
2.0701062883690002,1.6450917547934811,2.495120821944519,1.419302783831487,2.720909792906513
2.0413700138759614,1.6203076047756204,2.4624324229763026,1.3966181999410643,2.6861218278108585
2.0305927993890642,1.6097546447637472,2.4514309540143815,1.3861843751190475,2.675001223659081
2.0085295567920802,1.5895952403845472,2.427463873199613,1.3670363847930456,2.6500227287911153
1.9818614432317019,1.5657018740843816,2.398021012379022,1.344617102974868,2.619105783488536
1.9872773734772207,1.572976753091631,2.4015779938628103,1.3528795485117866,2.621675198442655
1.9913199276193974,1.576574900513239,2.4060649547255566,1.356241604863092,2.6263982503757033
2.010081531033516,1.593618373294568,2.426544688772464,1.3723723207457517,2.6477907413212804
2.0113352321472764,1.5948780058945404,2.4277924584000123,1.3736351044477746,2.649035359846778
