forecast,pred_int_80_low,pred_int_80_high,pred_int_95_low,pred_int_95_high
1.7323735137152672,1.6519464478194714,1.803530167967081,1.6071891411989927,1.8445295370146633
1.9269792245206239,1.851595999389887,2.0078002577424052,1.8265323924273253,2.0497562727779153
1.8329569344300032,1.704084727883339,1.9591327590942385,1.6442416497394443,2.0329605376869444
1.9823573545068505,1.904178627073765,2.0707925372719767,1.8617312037199736,2.1264224169850348
1.693738455054164,1.6061656315624715,1.7725322182178498,1.5505220927000047,1.8162338317111135
1.8823467882668972,1.7915729936361315,1.972064334899187,1.7304484126865864,2.0145002648532393
2.0546073414886,1.9698457003831864,2.138300492167473,1.9348974345028402,2.195101220086217
2.456751324954033,2.2740590541362766,2.620315855562687,2.176854860797525,2.726010894417763
2.474627560722232,2.2971966280937197,2.667011885523796,2.240300866290927,2.7768248791098595
2.1669898112925887,2.0638585221767425,2.2782238160967827,2.01481948903203,2.3371081669926643
2.628706328805089,2.41518896818161,2.853718815684319,2.3227952597141264,2.988008357256651
2.428652882776856,2.280932112812996,2.581339650154114,2.2138253595232964,2.663211589097977
2.371942616503835,2.220152221202851,2.5219728862643245,2.1515209096968175,2.62040733525157
