forecast,pred_int_80_low,pred_int_80_high,pred_int_95_low,pred_int_95_high
2.200532039931119,2.063005785703659,2.339414518594742,2.002925656542182,2.4082216923534867
2.194460392952561,2.069246287763119,2.3274440568685533,2.0044956560730935,2.4003472941070796
2.2888636510270834,2.1673299641609187,2.414728252112865,2.0982711156457663,2.4876398172080516
2.3699029927730564,2.1986191382408142,2.5365205619335174,2.1174320465177296,2.6205537641495464
2.2359938244906066,2.1304195065498353,2.347167125105858,2.0762328244000674,2.410923063740134
1.7540989832901956,1.6508620690703393,1.8543964517116547,1.6028045866265894,1.8973323727175595
2.219024350989759,2.09993075299263,2.340987376689911,2.057372104734182,2.4061681364029646
2.1372470043310523,1.9526518560051918,2.3233608893156052,1.8291064464598894,2.462952293097973
1.8641364886820317,1.7521674177944662,1.959643887281418,1.6906595216840508,2.0073066864907743
1.9585562440800666,1.8647398073971273,2.05081438934803,1.816888716109097,2.1067507296800616
2.3190762416484954,2.1721923509836194,2.4635411066412924,2.0744827240556476,2.544775864571333
2.4761200366663934,2.3024059854745866,2.6408617960214613,2.23430384349823,2.7360170831531287
2.4106715392625335,2.270291303098202,2.5624007128477095,2.2136829945743086,2.6308207722306256
