forecast,pred_int_80_low,pred_int_80_high,pred_int_95_low,pred_int_95_high
2.079614844044149,1.9703360779285433,2.1890843760371212,1.9283331486433744,2.258154129341245
1.9821700195825103,1.866041245520115,2.1055113914012913,1.8142398972436786,2.1742067009508608
1.9709718185076117,1.8697864716351034,2.0740732565522193,1.8158777193799616,2.139754628315568
1.9606011592808368,1.871174134194851,2.052583398461342,1.8350281524211167,2.115006564602256
1.9620910087254642,1.8511595825254918,2.073156319260597,1.7959949813187124,2.1378388833254576
1.9389122003588082,1.8164489069879055,2.0558518385887146,1.7488241100385786,2.136532567337155
1.882392507326901,1.7941121478378774,1.9749881701767444,1.7481681216433644,2.0291400060057643
1.9410222761234641,1.8547573405206206,2.0311227174401285,1.8021243133917453,2.0848456982225176
1.9848762695667148,1.8936368109881876,2.0827160002589227,1.838783166654408,2.1354233570992944
1.9449570363140105,1.8525461579859257,2.0443854867815974,1.7838546955287458,2.1066814059764147
1.8653522222045062,1.7613609603643419,1.961933797210455,1.6910153594240547,2.014216441810131
1.8503762151551248,1.7714386638998987,1.9310337539911273,1.7207269087880852,1.9835795005634427
1.8879864200630785,1.7938973978459836,1.989796056866646,1.7383292617127297,2.0461673467606305
